sdf_number,annalog,protonated,isomers
1,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)NCc1ccccc1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1
2,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)NC1CCCCC1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1
3,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)OCC,CCOC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,CCOC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1
4,c1c(-c2ccccc2)n(Cc2ccccc2)nc1C(=O)NC1CCCCC1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
5,c1c(-c2ccccc2)n(Cc2ccccc2)nc1C(=O)NCc1ccccc1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
6,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)NCCCC,CCCCNC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,CCCCNC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1
7,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,O=C(Nc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1
8,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)NCc1ccccc1Cl,O=C(NCc1ccccc1Cl)c1cc(-c2ccccc2)n(-c2ccccc2)n1,O=C(NCc1ccccc1Cl)c1cc(-c2ccccc2)n(-c2ccccc2)n1
9,c1(Cn2nc(C(=O)NC3C4CC5CC(CC3C5)C4)cc2-c2ccccc2)ccccc1,O=C(NC1C2CC3CC(C2)CC1C3)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
10,c1(Cn2nc(C(=O)NC3CCCCCC3)cc2-c2ccccc2)ccccc1,O=C(NC1CCCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CCCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
11,c1(Cn2nc(C(=O)NC3CC3)cc2-c2ccccc2)ccccc1,O=C(NC1CC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
12,c1(Cn2nc(C(=O)Nc3ccc(C(F)(F)F)cc3)cc2-c2ccccc2)ccccc1,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
13,c1(Cn2nc(C(=O)NC(C)(C)C)cc2-c2ccccc2)ccccc1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
14,c1(Cn2nc(C(=O)NC3CCCC3)cc2-c2ccccc2)ccccc1,O=C(NC1CCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
15,C(n1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)cc1-c1ccccc1)c1ccccc1,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(Cc2ccccc2)n1
16,Cn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)cc1-c1ccccc1,Cn1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)cc1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1
17,C(n1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1C)c1ccccc1,Cc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1Cc1ccccc1,Cc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1Cc1ccccc1
18,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccc(F)cc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccc(F)cc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccc(F)cc1
