sdf_number,annalog,protonated,isomers
1,Fc1ccccc1-c1c(C)c(C(N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)=O)cn1Cc1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(Cc2ccccc2)c1-c1ccccc1F,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(Cc2ccccc2)c1-c1ccccc1F
2,c1cc(Cl)ccc1-c1c(C)c(C(NC23CC4CC(C2)CC(C4)C3)=O)cn1C1CC1,Cc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)cn(C2CC2)c1-c1ccc(Cl)cc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(C2CC2)c1-c1ccc(Cl)cc1
3,Clc1cc(C(C)(C)C)ccc1-c1c(C)c(C(N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)=O)cn1Cc1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(Cc2ccccc2)c1-c1ccc(C(C)(C)C)cc1Cl,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(Cc2ccccc2)c1-c1ccc(C(C)(C)C)cc1Cl
4,c1ccccc1-c1c(C)c(C(N[C@@H]2C(C)(C)C2(C)C)=O)cn1CCC(C)C,Cc1c(C(=O)NC2C(C)(C)C2(C)C)cn(CCC(C)C)c1-c1ccccc1,Cc1c(C(=O)NC2C(C)(C)C2(C)C)cn(CCC(C)C)c1-c1ccccc1
5,c1ccccc1-c1c(C)c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3=O)cn1Cc1cc(Cl)c(Cl)cc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(Cc2ccc(Cl)c(Cl)c2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(Cc2ccc(Cl)c(Cl)c2)c1-c1ccccc1
6,c1ccccc1-c1c(C)c(C(=O)NC23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)=Sc2ccncc21,CC1=C(c2ccccc2)c2cnccc2[SH]=C1C(=O)NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,CC1=C(c2ccccc2)c2cnccc2[SH]=C1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
7,c1ccccc1-c1c(C)c(C(=O)NC23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)=Sc2ccncc21,CC1=C(C(=O)NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)[SH]=c2ccncc2=C1c1ccccc1,CC1=C(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[SH]=c2ccncc2=C1c1ccccc1
8,c1n(Cc2ccccc2)ccc1C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)=O,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccn(Cc2ccccc2)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccn(Cc2ccccc2)c1
9,c1n(-c2ccccc2)ccc1C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)=O,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccn(-c2ccccc2)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccn(-c2ccccc2)c1
10,c1n(-c2ccccc2)c(-c2ccccc2)c(C)c1C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)=O,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(-c2ccccc2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cn(-c2ccccc2)c1-c1ccccc1
11,c1n(Cc2ccccc2)c(-c2ccccc2)c(C)c1C(CCC)(O)C=O,CCCC(O)(C=O)c1cn(Cc2ccccc2)c(-c2ccccc2)c1C,CCC[C@](O)(C=O)c1cn(Cc2ccccc2)c(-c2ccccc2)c1C
12,c1n(Cc2ccccc2)c(-c2ccccc2)c(C)c1C(CCC)(O)C=O,CCCC(O)(C=O)c1cn(Cc2ccccc2)c(-c2ccccc2)c1C,CCC[C@@](O)(C=O)c1cn(Cc2ccccc2)c(-c2ccccc2)c1C
13,C1CCCc2c1nn1n(Cc3ccccc3)c(C)c1c2,Cc1c2cc3c(nn2n1Cc1ccccc1)CCCC3,Cc1c2cc3c(nn2n1Cc1ccccc1)CCCC3
14,c1n(-c2ccccc2)c(-c2ccccc2)cc1C(N[C@@H]1CC[C@@H](c2cc(O)ccc2)OC1)=O,O=C(N[C@@H]1CC[C@@H](c2cccc(O)c2)OC1)c1cc(-c2ccccc2)n(-c2ccccc2)c1,O=C(N[C@@H]1CC[C@@H](c2cccc(O)c2)OC1)c1cc(-c2ccccc2)n(-c2ccccc2)c1
