sdf_number,annalog,protonated,isomers
1,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1
2,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1
3,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1
4,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1nnc(C2CCCCC2)[nH]1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1nnc(C2CCCCC2)[nH]1
5,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1nc(C2CCCCC2)n[nH]1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1nc(C2CCCCC2)n[nH]1
6,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1n[nH]c(C2CCCCC2)n1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1n[nH]c(C2CCCCC2)n1
7,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1nnc(C2CCCCC2)[nH]1,O=C(NCc1ccccc1)c1nnc(C2CCCCC2)[nH]1
8,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1nc(C2CCCCC2)n[nH]1,O=C(NCc1ccccc1)c1nc(C2CCCCC2)n[nH]1
9,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1n[nH]c(C2CCCCC2)n1,O=C(NCc1ccccc1)c1n[nH]c(C2CCCCC2)n1
10,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1nnc(C2CCCCC2)[nH]1,O=C(NC1CCCCCC1)c1nnc(C2CCCCC2)[nH]1
11,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1nc(C2CCCCC2)n[nH]1,O=C(NC1CCCCCC1)c1nc(C2CCCCC2)n[nH]1
12,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1n[nH]c(C2CCCCC2)n1,O=C(NC1CCCCCC1)c1n[nH]c(C2CCCCC2)n1
13,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1nnc(C2CCCCC2)[nH]1)N1C2CC3CC(C2)CC1C3,O=C(c1nnc(C2CCCCC2)[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
14,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1nc(C2CCCCC2)n[nH]1)N1C2CC3CC(C2)CC1C3,O=C(c1nc(C2CCCCC2)n[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
15,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1n[nH]c(C2CCCCC2)n1)N1C2CC3CC(C2)CC1C3,O=C(c1n[nH]c(C2CCCCC2)n1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
16,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nnc(C2CCCCC2)[nH]1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nnc(C2CCCCC2)[nH]1
17,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nc(C2CCCCC2)n[nH]1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nc(C2CCCCC2)n[nH]1
18,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1n[nH]c(C2CCCCC2)n1,O=C(Nc1ccc(C(F)(F)F)cc1)c1n[nH]c(C2CCCCC2)n1
19,C1CCCC(c2[nH]c(C(Nc3ccccc3)=O)nn2)C1,O=C(Nc1ccccc1)c1nnc(C2CCCCC2)[nH]1,O=C(Nc1ccccc1)c1nnc(C2CCCCC2)[nH]1
20,C1CCCC(c2[nH]c(C(Nc3ccccc3)=O)nn2)C1,O=C(Nc1ccccc1)c1nc(C2CCCCC2)n[nH]1,O=C(Nc1ccccc1)c1nc(C2CCCCC2)n[nH]1
21,C1CCCC(c2[nH]c(C(Nc3ccccc3)=O)nn2)C1,O=C(Nc1ccccc1)c1n[nH]c(C2CCCCC2)n1,O=C(Nc1ccccc1)c1n[nH]c(C2CCCCC2)n1
22,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1[nH]c(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)[nH]1
23,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1[nH]c(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(-c2ccccc2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(-c2ccccc2)n[nH]1
24,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1[nH]c(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(-c2ccccc2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(-c2ccccc2)n1
25,O=C(NC12CC3CC(C1)CC(C3)C2)c1[nH]c(C2CCCCC2)nn1,O=C(NC12CC3CC(CC(C3)C1)C2)c1nnc(C2CCCCC2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CCCCC2)[nH]1
26,O=C(NC12CC3CC(C1)CC(C3)C2)c1[nH]c(C2CCCCC2)nn1,O=C(NC12CC3CC(CC(C3)C1)C2)c1nc(C2CCCCC2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CCCCC2)n[nH]1
27,O=C(NC12CC3CC(C1)CC(C3)C2)c1[nH]c(C2CCCCC2)nn1,O=C(NC12CC3CC(CC(C3)C1)C2)c1n[nH]c(C2CCCCC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CCCCC2)n1
28,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1oc(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)o1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(-c2ccccc2)o1
29,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1cn(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cn(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cn(-c2ccccc2)nn1
30,O=C(N[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)c1nn(-c2ccccc2)nn1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnn(-c2ccccc2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnn(-c2ccccc2)n1
31,C1[C@H]2C[C@@]3(NC(c4nnc(C5CC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CC2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CC2)[nH]1
32,C1[C@H]2C[C@@]3(NC(c4nnc(C5CC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CC2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CC2)n[nH]1
33,C1[C@H]2C[C@@]3(NC(c4nnc(C5CC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CC2)n1
34,C1[C@H]2C[C@@]3(NC(c4nnc(C5CCCC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CCCC2)[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nnc(C2CCCC2)[nH]1
35,C1[C@H]2C[C@@]3(NC(c4nnc(C5CCCC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CCCC2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1nc(C2CCCC2)n[nH]1
36,C1[C@H]2C[C@@]3(NC(c4nnc(C5CCCC5)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CCCC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1n[nH]c(C2CCCC2)n1
37,C1[C@H]2C[C@@]3(NC(c4nnc(C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1
38,C1[C@H]2C[C@@]3(NC(c4nnc(C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1
39,C1[C@H]2C[C@@]3(NC(c4nnc(C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1
40,C1[C@H]2C[C@@]3(NC(c4nnc(C(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)c1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,CC(C)c1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1
41,C1[C@H]2C[C@@]3(NC(c4nnc(C(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)c1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,CC(C)c1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1
42,C1[C@H]2C[C@@]3(NC(c4nnc(C(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)c1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,CC(C)c1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1
43,C1[C@H]2C[C@@]3(NC(c4nnc(CC(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,CC(C)Cc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1
44,C1[C@H]2C[C@@]3(NC(c4nnc(CC(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,CC(C)Cc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1
45,C1[C@H]2C[C@@]3(NC(c4nnc(CC(C)C)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CC(C)Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,CC(C)Cc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1
46,C1[C@H]2C[C@@]3(NC(c4nnc(CCC)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CCCc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1,CCCc1nnc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]1
47,C1[C@H]2C[C@@]3(NC(c4nnc(CCC)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CCCc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1,CCCc1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]1
48,C1[C@H]2C[C@@]3(NC(c4nnc(CCC)[nH]4)=O)C[C@@H]1C[C@@H](C2)C3,CCCc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1,CCCc1n[nH]c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n1
49,O=C(N1CCOCC1)c1nnc(-c2ccccc2)o1,O=C(c1nnc(-c2ccccc2)o1)N1CCOCC1,O=C(c1nnc(-c2ccccc2)o1)N1CCOCC1
50,O=C(N(CC)CC)c1nnc(-c2ccccc2)o1,CCN(CC)C(=O)c1nnc(-c2ccccc2)o1,CCN(CC)C(=O)c1nnc(-c2ccccc2)o1
51,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(NCc1ccccc1)c1nnc(-c2ccccc2)o1
52,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1,O=C(NC1CCCCC1)c1nnc(-c2ccccc2)o1
53,O=C(N(C)C)c1nnc(-c2ccccc2)o1,CN(C)C(=O)c1nnc(-c2ccccc2)o1,CN(C)C(=O)c1nnc(-c2ccccc2)o1
54,O=C(N1CCCC1)c1nnc(-c2ccccc2)o1,O=C(c1nnc(-c2ccccc2)o1)N1CCCC1,O=C(c1nnc(-c2ccccc2)o1)N1CCCC1
55,O=C(Nc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(Nc1ccccc1)c1nnc(-c2ccccc2)o1,O=C(Nc1ccccc1)c1nnc(-c2ccccc2)o1
56,C1N(C(c2nnc(Cc3ccccc3)o2)=O)CCCC1,O=C(c1nnc(Cc2ccccc2)o1)N1CCCCC1,O=C(c1nnc(Cc2ccccc2)o1)N1CCCCC1
57,C1N(C(c2nnc(C)o2)=O)CCCC1,Cc1nnc(C(=O)N2CCCCC2)o1,Cc1nnc(C(=O)N2CCCCC2)o1
58,C1N(C(c2nnc(-c3ccccc3)o2)=O)CC1,O=C(c1nnc(-c2ccccc2)o1)N1CCC1,O=C(c1nnc(-c2ccccc2)o1)N1CCC1
59,N(C(c1nnc(-c2ccccc2)o1)=O)C,CNC(=O)c1nnc(-c2ccccc2)o1,CNC(=O)c1nnc(-c2ccccc2)o1
