sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,c1c(-c2c(C)c(C(=O)NC(C)(C)C)cn2[C@@H](c2ccc(Cl)cc2)C)cccc1,Cc1c(C(=O)NC(C)(C)C)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1,Cc1c(C(=O)NC(C)(C)C)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1,-11.431,29
2,c1c(-c2c(C)c(C(=O)NC34C(=O)[C@H]5C[C@H](C[C@H](C5)C3)C4)cn2[C@@H](c2ccc(C#N)cc2)C)cc(C)cc1,Cc1cccc(-c2c(C)c(C(=O)NC34C[C@@H]5C[C@@H](C[C@@H](C5)C3=O)C4)cn2[C@H](C)c2ccc(C#N)cc2)c1,Cc1cccc(-c2c(C)c(C(=O)N[C@@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3=O)C4)cn2[C@H](C)c2ccc(C#N)cc2)c1,-13.299,2
3,c1c(-c2c(C)c(C(=O)NC3CCCC(C)(C)C3)cn2[C@H](c2ccc(Cl)cc2Cl)C)cccc1,Cc1c(C(=O)NC2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1,Cc1c(C(=O)N[C@@H]2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1,-12.747,28
4,c1c(-c2c(C)c(C(=O)NC3CCCC(C)(C)C3)cn2[C@H](c2ccc(Cl)cc2Cl)C)cccc1,Cc1c(C(=O)NC2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1,Cc1c(C(=O)N[C@H]2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1,-13.524,28
5,c1c(-c2c(C)c(C(=O)Nc3ncc4n(cc(CC)c4)c3)cn2[C@@H](c2ccc(Cl)cc2)C)cccc1,CCc1cc2cnc(NC(=O)c3cn([C@H](C)c4ccc(Cl)cc4)c(-c4ccccc4)c3C)cn2c1,CCc1cc2cnc(NC(=O)c3cn([C@H](C)c4ccc(Cl)cc4)c(-c4ccccc4)c3C)cn2c1,-13.274,59
6,c1c(C2=CCCCC2)c(C(=O)NCCn2c(=O)n(-c3ccc(Cl)cc3)nc2)cnc1,O=C(NCCn1cnn(-c2ccc(Cl)cc2)c1=O)c1cnccc1C1=CCCCC1,O=C(NCCn1cnn(-c2ccc(Cl)cc2)c1=O)c1cnccc1C1=CCCCC1,-10.027,58
7,[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n(-c4ccc(Cl)cc4)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(-c2ccc(Cl)cc2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(-c2ccc(Cl)cc2)c1-c1ccccc1,-11.361,2
8,[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n([C@@H](c4ccc(Br)cc4)C)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn([C@H](C)c2ccc(Br)cc2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn([C@H](C)c2ccc(Br)cc2)c1-c1ccccc1,-13.95,2
9,[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n(Cc4cccs4)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(Cc2cccs2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(Cc2cccs2)c1-c1ccccc1,-12.356,8
10,[C@@]12(NC(=O)c3cc(-c4ccccc4)n([C@@H](c4ccc(C#N)cc4)C)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,C[C@H](c1ccc(C#N)cc1)n1cc(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cc1-c1ccccc1,C[C@H](c1ccc(C#N)cc1)n1cc(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cc1-c1ccccc1,-13.448,27
