sdf_number,annalog,protonated,isomers,docking_energy
1,c1(C)c(-c2ccccc2)n(CCCCC)nc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,CCCCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C)c1-c1ccccc1,-11.723
2,c1(C)c(-c2ccccc2)n(-c2ccccc2Cl)nc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2ccccc2Cl)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2ccccc2Cl)c1-c1ccccc1,-11.286
3,c1(C)c(-c2ccccc2)n(-c2ccccc2C(F)(F)F)nc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2ccccc2C(F)(F)F)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2ccccc2C(F)(F)F)c1-c1ccccc1,-11.88
4,c1([N+]#[C-])c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,[C-]#[N+]c1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2ccccc2)c1-c1ccccc1,[C-]#[N+]c1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(-c2ccccc2)c1-c1ccccc1,-10.827
5,c1(C)c(-c2ccccc2)n(CCc2ccc(C(F)(F)F)cc2)nc1C(=O)NO,Cc1c(C(=O)NO)nn(CCc2ccc(C(F)(F)F)cc2)c1-c1ccccc1,Cc1c(C(=O)NO)nn(CCc2ccc(C(F)(F)F)cc2)c1-c1ccccc1,-10.302
6,c1(C)c(-c2ccccc2)n(CCc2ccc(C(F)(F)F)cc2)nc1C(=O)NO,Cc1c(C(=O)N[O-])nn(CCc2ccc(C(F)(F)F)cc2)c1-c1ccccc1,Cc1c(C(=O)N[O-])nn(CCc2ccc(C(F)(F)F)cc2)c1-c1ccccc1,-10.552
7,n1nc(-c2ccccc2Cl)nn1C1CCN(C2CCOCC2)CC1,Clc1ccccc1-c1nnn(C2CC[NH+](C3CCOCC3)CC2)n1,Clc1ccccc1-c1nnn([C@H]2CC[N@@H+](C3CCOCC3)CC2)n1,-9.675
8,n1nc(-c2ccccc2Cl)nn1C1CCN(C2CCOCC2)CC1,Clc1ccccc1-c1nnn(C2CC[NH+](C3CCOCC3)CC2)n1,Clc1ccccc1-c1nnn([C@H]2CC[N@H+](C3CCOCC3)CC2)n1,-10.228
9,NC(c1c(-c2cccc(Cl)c2)n(Cc2ccccc2)nc1C(=O)N[C@@H]1CCCN(C2CCCCC2)C1)=O,NC(=O)c1c(C(=O)N[C@@H]2CCC[NH+](C3CCCCC3)C2)nn(Cc2ccccc2)c1-c1cccc(Cl)c1,NC(=O)c1c(C(=O)N[C@@H]2CCC[N@H+](C3CCCCC3)C2)nn(Cc2ccccc2)c1-c1cccc(Cl)c1,-13.103
10,NC(c1c(-c2cccc(Cl)c2)n(Cc2ccccc2)nc1C(=O)N[C@@H]1CCCN(C2CCCCC2)C1)=O,NC(=O)c1c(C(=O)N[C@@H]2CCC[NH+](C3CCCCC3)C2)nn(Cc2ccccc2)c1-c1cccc(Cl)c1,NC(=O)c1c(C(=O)N[C@@H]2CCC[N@@H+](C3CCCCC3)C2)nn(Cc2ccccc2)c1-c1cccc(Cl)c1,-13.578
