sdf_number,annalog,protonated,isomers,docking_energy
1,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1,-9.002
2,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1,-8.665
3,C1CCCC(c2[nH]c(C(NC3CCCCC3)=O)nn2)C1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1,-8.747
4,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1nnc(C2CCCCC2)[nH]1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1nnc(C2CCCCC2)[nH]1,-10.532
5,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1nc(C2CCCCC2)n[nH]1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1nc(C2CCCCC2)n[nH]1,-10.492
6,C1CCCC(c2[nH]c(C(NC3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(NC1C2CC3CC(C2)CC1C3)c1n[nH]c(C2CCCCC2)n1,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1n[nH]c(C2CCCCC2)n1,-10.489
7,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1nnc(C2CCCCC2)[nH]1,O=C(NCc1ccccc1)c1nnc(C2CCCCC2)[nH]1,-9.324
8,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1nc(C2CCCCC2)n[nH]1,O=C(NCc1ccccc1)c1nc(C2CCCCC2)n[nH]1,-9.361
9,C1CCCC(c2[nH]c(C(NCc3ccccc3)=O)nn2)C1,O=C(NCc1ccccc1)c1n[nH]c(C2CCCCC2)n1,O=C(NCc1ccccc1)c1n[nH]c(C2CCCCC2)n1,-9.308
10,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1nnc(C2CCCCC2)[nH]1,O=C(NC1CCCCCC1)c1nnc(C2CCCCC2)[nH]1,-6.7
11,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1nc(C2CCCCC2)n[nH]1,O=C(NC1CCCCCC1)c1nc(C2CCCCC2)n[nH]1,-6.7
12,C1CCCC(c2[nH]c(C(NC3CCCCCC3)=O)nn2)C1,O=C(NC1CCCCCC1)c1n[nH]c(C2CCCCC2)n1,O=C(NC1CCCCCC1)c1n[nH]c(C2CCCCC2)n1,-6.62
13,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1nnc(C2CCCCC2)[nH]1)N1C2CC3CC(C2)CC1C3,O=C(c1nnc(C2CCCCC2)[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,-10.086
14,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1nc(C2CCCCC2)n[nH]1)N1C2CC3CC(C2)CC1C3,O=C(c1nc(C2CCCCC2)n[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,-10.229
15,C1CCCC(c2[nH]c(C(N3C4CC5CC(CC3C5)C4)=O)nn2)C1,O=C(c1n[nH]c(C2CCCCC2)n1)N1C2CC3CC(C2)CC1C3,O=C(c1n[nH]c(C2CCCCC2)n1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,-6.59
16,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nnc(C2CCCCC2)[nH]1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nnc(C2CCCCC2)[nH]1,-10.328
17,C1CCCC(c2[nH]c(C(Nc3ccc(C(F)(F)F)cc3)=O)nn2)C1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nc(C2CCCCC2)n[nH]1,O=C(Nc1ccc(C(F)(F)F)cc1)c1nc(C2CCCCC2)n[nH]1,-10.419
