sdf_number,annalog,protonated,isomers,docking_energy
1,c1c(C(NC2CCCCC2)=O)nn(Cc2ccccc2)c1-c1ccccc1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-11.575
2,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(C)c1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-10.997
3,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(CC)c1-c1ccccc1,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-10.942
4,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(CCC)c1-c1ccccc1,CCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,CCCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-10.944
5,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)n[nH]c1-c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1,-10.784
6,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)n[nH]c1-c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n[nH]1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n[nH]1,-10.806
7,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(Cc2ccccc2)c1CCC,CCCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1Cc1ccccc1,CCCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1Cc1ccccc1,-11.663
8,c1c(C(N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)=O)nn(-c2ccccc2)c1CC,CCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1-c1ccccc1,CCc1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn1-c1ccccc1,-10.851
9,c1cccc(-c2n(Cc3ccccc3)nc(C(NCc3ccccc3)=O)c2)c1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-11.628
10,c1cccc(-c2n(Cc3ccccc3)nc(C(NC(C)(C)C)=O)c2)c1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,CC(C)(C)NC(=O)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-10.717
