sdf_number,annalog,protonated,isomers
1,c1c(-c2c(C)c(C(=O)NC(C)(C)C)cn2[C@@H](c2ccc(Cl)cc2)C)cccc1,Cc1c(C(=O)NC(C)(C)C)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1,Cc1c(C(=O)NC(C)(C)C)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1
2,c1c(-c2c(C)c(C(=O)NC34C(=O)[C@H]5C[C@H](C[C@H](C5)C3)C4)cn2[C@@H](c2ccc(C#N)cc2)C)cc(C)cc1,Cc1cccc(-c2c(C)c(C(=O)NC34C[C@@H]5C[C@@H](C[C@@H](C5)C3=O)C4)cn2[C@H](C)c2ccc(C#N)cc2)c1,Cc1cccc(-c2c(C)c(C(=O)N[C@@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3=O)C4)cn2[C@H](C)c2ccc(C#N)cc2)c1
3,c1c(-c2c(C)c(C(=O)NC3CCCC(C)(C)C3)cn2[C@H](c2ccc(Cl)cc2Cl)C)cccc1,Cc1c(C(=O)NC2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1,Cc1c(C(=O)N[C@@H]2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1
4,c1c(-c2c(C)c(C(=O)NC3CCCC(C)(C)C3)cn2[C@H](c2ccc(Cl)cc2Cl)C)cccc1,Cc1c(C(=O)NC2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1,Cc1c(C(=O)N[C@H]2CCCC(C)(C)C2)cn([C@@H](C)c2ccc(Cl)cc2Cl)c1-c1ccccc1
5,c1c(-c2c(C)c(C(=O)Nc3ncc4n(cc(CC)c4)c3)cn2[C@@H](c2ccc(Cl)cc2)C)cccc1,CCc1cc2cnc(NC(=O)c3cn([C@H](C)c4ccc(Cl)cc4)c(-c4ccccc4)c3C)cn2c1,CCc1cc2cnc(NC(=O)c3cn([C@H](C)c4ccc(Cl)cc4)c(-c4ccccc4)c3C)cn2c1
6,c1c(C2=CCCCC2)c(C(=O)NCCn2c(=O)n(-c3ccc(Cl)cc3)nc2)cnc1,O=C(NCCn1cnn(-c2ccc(Cl)cc2)c1=O)c1cnccc1C1=CCCCC1,O=C(NCCn1cnn(-c2ccc(Cl)cc2)c1=O)c1cnccc1C1=CCCCC1
7,[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n(-c4ccc(Cl)cc4)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(-c2ccc(Cl)cc2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(-c2ccc(Cl)cc2)c1-c1ccccc1
8,[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n([C@@H](c4ccc(Br)cc4)C)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn([C@H](C)c2ccc(Br)cc2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn([C@H](C)c2ccc(Br)cc2)c1-c1ccccc1
9,[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n(Cc4cccs4)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(Cc2cccs2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(Cc2cccs2)c1-c1ccccc1
10,[C@@]12(NC(=O)c3cc(-c4ccccc4)n([C@@H](c4ccc(C#N)cc4)C)c3)C[C@@H]3C[C@@H](C[C@H](C1)C3)C2=O,C[C@H](c1ccc(C#N)cc1)n1cc(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cc1-c1ccccc1,C[C@H](c1ccc(C#N)cc1)n1cc(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cc1-c1ccccc1
11,[C@@]12(NC(=O)c3c(C)c(-c4ccccc4)n([C@H](Cc4ccccc4)C)c3)C[C@@H]3C[C@@H](C[C@H]1C3)C2=O,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@H]2C4)C3=O)cn([C@@H](C)Cc2ccccc2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@H]2C4)C3=O)cn([C@@H](C)Cc2ccccc2)c1-c1ccccc1
12,[C@@]12(NC(=O)c3n(C)c(-c4ccccc4)c(-c4ccc(Cl)cc4)n3)C[C@@H]3[C@@H](OC)O[C@@H](CC1=C3)C2=O,CO[C@H]1O[C@H]2CC3=C[C@@H]1C[C@@]3(NC(=O)c1nc(-c3ccc(Cl)cc3)c(-c3ccccc3)n1C)C2=O,CO[C@H]1O[C@H]2CC3=C[C@@H]1C[C@@]3(NC(=O)c1nc(-c3ccc(Cl)cc3)c(-c3ccccc3)n1C)C2=O
13,[C@@]12(NC(=O)c3n(C)c(-c4ccccc4)c(-c4ccc(Cl)cc4)n3)C[C@@H]3[C@@H](OC)O[C@@H](CC1=C3)C2=O,CO[C@H]1O[C@H]2CC3=C[C@@H]1C[C@@]3(NC(=O)c1[nH+]c(-c3ccc(Cl)cc3)c(-c3ccccc3)n1C)C2=O,CO[C@H]1O[C@H]2CC3=C[C@@H]1C[C@@]3(NC(=O)c1[nH+]c(-c3ccc(Cl)cc3)c(-c3ccccc3)n1C)C2=O
14,O=C1[C@H]2C[C@H]3C[C@]1(NC(=O)c1cn([C@@H](c4ccccc4Cl)C)c(-c4ccccc4)c1C)C[C@H](C3)C2,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn([C@H](C)c2ccccc2Cl)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn([C@H](C)c2ccccc2Cl)c1-c1ccccc1
15,O=C1[C@H]2C[C@H]3C[C@]1(NC(=O)c1cn([C@H]4CCNCC4)c(-c4ccccc4)c1C)C[C@H](C3)C2,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(C2CC[NH2+]CC2)c1-c1ccccc1,Cc1c(C(=O)N[C@@]23C[C@@H]4C[C@@H](C[C@@H](C4)C2=O)C3)cn(C2CC[NH2+]CC2)c1-c1ccccc1
16,C1[C@H]2C3C[C@]1(NC(=O)c1cn([C@@H](c4ccc(Cl)cc4)C)c(-c4ccccc4)c1C)CC(C3)C2,Cc1c(C(=O)N[C@]23CC4CC(C2)[C@@H](C4)C3)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1,Cc1c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)[C@@H](C4)C3)cn([C@H](C)c2ccc(Cl)cc2)c1-c1ccccc1
17,O=C1[C@H]2C[C@H]3C[C@]1(NC(=O)c1c(-c4sc(Br)cc4)n(-c4ccc(Cl)cc4)cc1)C[C@H](C3)C2,O=C(N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1ccn(-c2ccc(Cl)cc2)c1-c1ccc(Br)s1,O=C(N[C@@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1=O)C2)c1ccn(-c2ccc(Cl)cc2)c1-c1ccc(Br)s1
