sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,C1[C@H]2C[C@]3(NC(c4ccccc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccccc1,-9.345,1
2,C1[C@H]2C[C@]3(NC(c4cc(Cl)c(Cl)cc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Cl)c(Cl)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Cl)c(Cl)c1,-9.729,1
3,C1[C@H]2C[C@]3(NC(c4cc(C)c(C)cc4)=O)C[C@@H](C[C@H]1C3)C2,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1C,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1C,-9.905,1
4,C1[C@H]2C[C@]3(NC(c4ccc(OC)cc4)=O)C[C@@H](C[C@H]1C3)C2,COc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,COc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,-9.378,1
5,C1[C@H]2C[C@]3(NC(c4ccc(C)cc4)=O)C[C@@H](C[C@H]1C3)C2,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,Cc1ccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1,-9.699,1
6,C1[C@H]2C[C@]3(NC(/C=C/c4ccccc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(/C=C/c1ccccc1)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,O=C(/C=C/c1ccccc1)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,-10.109,24
7,C1[C@H]2C[C@]3(NC(c4cc(F)c(F)cc4)=O)C[C@@H](C[C@H]1C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(F)c(F)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(F)c(F)c1,-9.671,1
8,C1[C@H]2C[C@]3(NC(c4c(OC)cccc4)=O)C[C@@H](C[C@H]1C3)C2,COc1ccccc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,COc1ccccc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,-9.66,23
9,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(C)=O,CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,-7.352,17
10,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(c1cccc(C)c1)=O,Cc1cccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1,Cc1cccc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1,-10.212,1
11,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(c1ccc(Br)cc1)=O,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Br)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(Br)cc1,-9.52,1
12,C(N[C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)(CC)=O,CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,-7.576,17
13,c1cc(C(NC2CCCCC2)=O)cc(C)c1-c1ccccc1,Cc1cc(C(=O)NC2CCCCC2)ccc1-c1ccccc1,Cc1cc(C(=O)NC2CCCCC2)ccc1-c1ccccc1,-10.652,16
14,c1cc(C(N[C@]23C[C@H]4C[C@H](C[C@@H](C2)C4)C3)=O)ccc1C(F)(F)F,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(C(F)(F)F)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(C(F)(F)F)cc1,-10.436,1
15,c1cc(C(NC2CCCCC2)=O)ccc1-c1ccccc1,O=C(NC1CCCCC1)c1ccc(-c2ccccc2)cc1,O=C(NC1CCCCC1)c1ccc(-c2ccccc2)cc1,-10.426,16
16,c1cc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)ccc1-c1ccccc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccccc2)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(-c2ccccc2)cc1,-12.2,1
