sdf_number,annalog,protonated,isomers
1,C1C(c2[nH]c(C(=O)N3CCCCC3)nn2)CCCC1,O=C(c1nnc(C2CCCCC2)[nH]1)N1CCCCC1,O=C(c1nnc(C2CCCCC2)[nH]1)N1CCCCC1
2,C1C(c2[nH]c(C(=O)N3CCCCC3)nn2)CCCC1,O=C(c1nc(C2CCCCC2)n[nH]1)N1CCCCC1,O=C(c1nc(C2CCCCC2)n[nH]1)N1CCCCC1
3,C1C(c2[nH]c(C(=O)N3CCCCC3)nn2)CCCC1,O=C(c1n[nH]c(C2CCCCC2)n1)N1CCCCC1,O=C(c1n[nH]c(C2CCCCC2)n1)N1CCCCC1
4,C1C(c2[nH]c(C(=O)N3CCCC3)nn2)CCCC1,O=C(c1nnc(C2CCCCC2)[nH]1)N1CCCC1,O=C(c1nnc(C2CCCCC2)[nH]1)N1CCCC1
5,C1C(c2[nH]c(C(=O)N3CCCC3)nn2)CCCC1,O=C(c1nc(C2CCCCC2)n[nH]1)N1CCCC1,O=C(c1nc(C2CCCCC2)n[nH]1)N1CCCC1
6,C1C(c2[nH]c(C(=O)N3CCCC3)nn2)CCCC1,O=C(c1n[nH]c(C2CCCCC2)n1)N1CCCC1,O=C(c1n[nH]c(C2CCCCC2)n1)N1CCCC1
7,C1C(c2[nH]c(C(=O)NC3CCCCC3)nn2)CCCC1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1,O=C(NC1CCCCC1)c1nnc(C2CCCCC2)[nH]1
8,C1C(c2[nH]c(C(=O)NC3CCCCC3)nn2)CCCC1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1,O=C(NC1CCCCC1)c1nc(C2CCCCC2)n[nH]1
9,C1C(c2[nH]c(C(=O)NC3CCCCC3)nn2)CCCC1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1,O=C(NC1CCCCC1)c1n[nH]c(C2CCCCC2)n1
10,C1C(c2[nH]c(C(=O)N3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)nn2)CC1,O=C(c1nnc(C2CCC2)[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,O=C(c1nnc(C2CCC2)[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
11,C1C(c2[nH]c(C(=O)N3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)nn2)CC1,O=C(c1nc(C2CCC2)n[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,O=C(c1nc(C2CCC2)n[nH]1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
12,C1C(c2[nH]c(C(=O)N3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)nn2)CC1,O=C(c1n[nH]c(C2CCC2)n1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,O=C(c1n[nH]c(C2CCC2)n1)N1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
