sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,c1c(-c2ccccc2)n(C)nc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3)C2,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-11.005,1
2,c1c(-c2ccccc2)n(C2CCCCC2)nc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@@H](C1)C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CCCCC2)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)n(C2CCCCC2)n1,-10.993,1
3,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)NCc1ccccc1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,-10.965,11
4,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)NC1CCCCC1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,-10.682,10
5,c1c(-c2ccccc2)n(Cc2ccccc2)nc1C(=O)NC1CCCCC1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NC1CCCCC1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-11.389,1
6,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)NCc1ccc(OC)cc1,COc1ccc(CNC(=O)c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1,COc1ccc(CNC(=O)c2cc(-c3ccccc3)n(-c3ccccc3)n2)cc1,-10.207,11
7,c1c(-c2ccccc2)n(Cc2ccccc2)nc1C(=O)NCc1ccccc1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,O=C(NCc1ccccc1)c1cc(-c2ccccc2)n(Cc2ccccc2)n1,-11.467,1
8,c1c(-c2ccccc2)n(-c2ccccc2)nc1C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,O=C(Nc1ccccc1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,-10.677,10
9,C1[C@H]2C[C@H]3C[C@]1(NC(c1cc(-c4ccccc4)n(CC=C)n1)=O)C[C@H](C3)C2,C=CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,C=CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1-c1ccccc1,-11.006,1
10,C1[C@H]2C[C@H]3C[C@]1(NC(c1cc(-c4ccccc4)[nH]n1)=O)C[C@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(-c2ccccc2)[nH]n1,-10.744,2
