sdf_number,annalog,protonated,isomers
1,c1cc(Cl)cc(Cl)c1-c1c(C)c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)n[nH]1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]c1-c1ccc(Cl)cc1Cl,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]c1-c1ccc(Cl)cc1Cl
2,c1cc(Cl)cc(Cl)c1-c1c(C)c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)n[nH]1,Cc1c(-c2ccc(Cl)cc2Cl)n[nH]c1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,Cc1c(-c2ccc(Cl)cc2Cl)n[nH]c1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
3,c1cc(F)cc(F)c1-c1c(C(F)(F)F)c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)nn1CC,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C(F)(F)F)c1-c1ccc(F)cc1F,CCn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(C(F)(F)F)c1-c1ccc(F)cc1F
4,c1ccccc1-c1c(C)c(C(=O)N[C@H]2CC[C@H](C)CC2)nn1C,Cc1c(C(=O)N[C@H]2CC[C@H](C)CC2)nn(C)c1-c1ccccc1,Cc1c(C(=O)N[C@H]2CC[C@H](C)CC2)nn(C)c1-c1ccccc1
5,c1c(Cl)ccc(Cl)c1-c1c(CCC)c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)n[nH]1,CCCc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]c1-c1cc(Cl)ccc1Cl,CCCc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)n[nH]c1-c1cc(Cl)ccc1Cl
6,c1c(Cl)ccc(Cl)c1-c1c(CCC)c(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)n[nH]1,CCCc1c(-c2cc(Cl)ccc2Cl)n[nH]c1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCCc1c(-c2cc(Cl)ccc2Cl)n[nH]c1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
7,c1cc(C#N)cc(F)c1-c1c(C)c(C=O)n[nH]1,Cc1c(C=O)n[nH]c1-c1ccc(C#N)cc1F,Cc1c(C=O)n[nH]c1-c1ccc(C#N)cc1F
8,c1cc(C#N)cc(F)c1-c1c(C)c(C=O)n[nH]1,Cc1c(-c2ccc(C#N)cc2F)n[nH]c1C=O,Cc1c(-c2ccc(C#N)cc2F)n[nH]c1C=O
9,c1cc2c([nH]nn2)cc1-c1cc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)n(C)n1,Cn1nc(-c2ccc3nn[nH]c3c2)cc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,Cn1nc(-c2ccc3nn[nH]c3c2)cc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
10,c1cc2c([nH]nn2)cc1-c1cc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)n(C)n1,Cn1nc(-c2ccc3[nH]nnc3c2)cc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,Cn1nc(-c2ccc3[nH]nnc3c2)cc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
11,c1cc2c([nH]nn2)cc1-c1cc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)n(C)n1,Cn1nc(-c2ccc3n[nH]nc3c2)cc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,Cn1nc(-c2ccc3n[nH]nc3c2)cc1C(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
12,c1c(N)cccc1-c1c(C)c(C(=O)NC2C3CCC2CC3)nn1C,Cc1c(C(=O)NC2C3CCC2CC3)nn(C)c1-c1cccc(N)c1,Cc1c(C(=O)N[C@H]2[C@H]3CC[C@@H]2CC3)nn(C)c1-c1cccc(N)c1
13,c1cc(Cl)ccc1-n1c(C)c(C(=O)NO[C@H]2C[C@@H](CN3C(=O)C=C(C)C3=O)CC2)nc1,CC1=CC(=O)N(C[C@H]2CC[C@@H](ONC(=O)c3ncn(-c4ccc(Cl)cc4)c3C)C2)C1=O,CC1=CC(=O)N(C[C@H]2CC[C@@H](ONC(=O)c3ncn(-c4ccc(Cl)cc4)c3C)C2)C1=O
14,c1cc(Cl)ccc1-n1c(C)c(C(=O)NO[C@H]2C[C@@H](CN3C(=O)C=C(C)C3=O)CC2)nc1,CC1=CC(=O)N(C[C@H]2CC[C@@H](ONC(=O)c3[nH+]cn(-c4ccc(Cl)cc4)c3C)C2)C1=O,CC1=CC(=O)N(C[C@H]2CC[C@@H](ONC(=O)c3[nH+]cn(-c4ccc(Cl)cc4)c3C)C2)C1=O
15,CC(c1ccc(-c2n(C)nc(C(=O)N[C@]34C[C@@H]5C[C@H](C3)C[C@@H](C5)C4)n2)cc1)(C)C,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nc1-c1ccc(C(C)(C)C)cc1,Cn1nc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nc1-c1ccc(C(C)(C)C)cc1
16,c1(-c2nc(CN3CCC3)on2)nc(C(=O)N[C@]23C[C@@H]4C[C@H](C2)C[C@@H](C4)C3)c(F)cc(F)cc1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)C1=C(F)C=C(F)C=CC(c2noc(C[NH+]3CCC3)n2)=N1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)C1=C(F)/C=C(F)\C=C/C(c2noc(C[NH+]3CCC3)n2)=N\1
17,c1(-c2nc(C)cc(NC(=O)CC3C4CC5CC(C4)CC3C5)n2)c(F)cc(F)cc1,Cc1cc(NC(=O)CC2C3CC4CC(C3)CC2C4)nc(-c2ccc(F)cc2F)n1,Cc1cc(NC(=O)C[C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)nc(-c2ccc(F)cc2F)n1
18,c1(-c2c(C)nc3c(n2)sc(C(=O)NC2CC2)c3)c(F)cc(F)cc1,Cc1nc2cc(C(=O)NC3CC3)sc2nc1-c1ccc(F)cc1F,Cc1nc2cc(C(=O)NC3CC3)sc2nc1-c1ccc(F)cc1F
19,c1(=O)[nH]nc(C(=O)N2C[C@H]3[N+]([O-])=C[C@H]([C@@H]3C)C2)c(F)c1,C[C@@H]1[C@H]2CN(C(=O)c3n[nH]c(=O)cc3F)C[C@@H]1C=[N+]2[O-],C[C@@H]1[C@H]2CN(C(=O)c3n[nH]c(=O)cc3F)C[C@@H]1C=[N+]2[O-]
20,c1(=O)[nH]nc(C(=O)N2C[C@H]3[N+]([O-])=C[C@H]([C@@H]3C)C2)c(F)c1,C[C@@H]1[C@H]2CN(C(=O)c3nnc(O)cc3F)C[C@@H]1C=[N+]2[O-],C[C@@H]1[C@H]2CN(C(=O)c3nnc(O)cc3F)C[C@@H]1C=[N+]2[O-]
21,C1Cc2n(C)cc(C(=O)N[C@H]3C[C@@H]4[C@@H](C3=O)CCCC(C)(C)[C@@H]4OC(C)=O)c2CC1,CC(=O)O[C@@H]1[C@@H]2C[C@H](NC(=O)c3cn(C)c4c3CCCC4)C(=O)[C@H]2CCCC1(C)C,CC(=O)O[C@@H]1[C@@H]2C[C@H](NC(=O)c3cn(C)c4c3CCCC4)C(=O)[C@H]2CCCC1(C)C
22,C1[C@H]2C[C@H]3C[C@]1(NC(=O)c1nn(C)c(-c4ccccn4)c1C)C[C@H](C3)C2,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C)c1-c1ccccn1,Cc1c(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)nn(C)c1-c1ccccn1
23,C1[C@H]2C[C@H]3C[C@]1(NC(=O)c1cn(C)c(-c4ccc(Cl)cc4)c1N)C[C@H](C3)C2,Cn1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(N)c1-c1ccc(Cl)cc1,Cn1cc(C(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(N)c1-c1ccc(Cl)cc1
24,C1[C@H]2C[C@H]3C[C@]1(NC(=O)c1nn(-c4c(Cl)cccc4)c(F)c1)C[C@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(F)n(-c2ccccc2Cl)n1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1cc(F)n(-c2ccccc2Cl)n1
25,C1[C@H]2C[C@H]3C[C@]1(NC(=O)c1c[n+](Cc4ccccc4F)ccc1)C[C@H](C3)C2,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc[n+](Cc2ccccc2F)c1,O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc[n+](Cc2ccccc2F)c1
26,N(c1c(F)c(F)c(C(Nc2cccc3cn(-c4ccccc4)nc32)=O)c(F)c1F)CCO,O=C(Nc1cccc2cn(-c3ccccc3)nc12)c1c(F)c(F)c(NCCO)c(F)c1F,O=C(Nc1cccc2cn(-c3ccccc3)nc12)c1c(F)c(F)c(NCCO)c(F)c1F
27,N(c1c(F)c(F)c(C(Nc2cccc3cn(-c4ccc(F)cc4)nc32)=O)c(F)c1F)C1CC1,O=C(Nc1cccc2cn(-c3ccc(F)cc3)nc12)c1c(F)c(F)c(NC2CC2)c(F)c1F,O=C(Nc1cccc2cn(-c3ccc(F)cc3)nc12)c1c(F)c(F)c(NC2CC2)c(F)c1F
28,ClCN(c1c(F)c(F)c(C(Nc2cccc3c2nc[nH]3)=O)c(F)c1F)CCC,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3[nH]cnc23)c(F)c1F,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3[nH]cnc23)c(F)c1F
29,ClCN(c1c(F)c(F)c(C(Nc2cccc3c2nc[nH]3)=O)c(F)c1F)CCC,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3nc[nH]c23)c(F)c1F,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3nc[nH]c23)c(F)c1F
30,ClCN(c1c(F)c(F)c(C(Nc2cccc3c2nc[nH]3)=O)c(F)c1F)CCC,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3[nH]c[nH+]c23)c(F)c1F,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3[nH]c[nH+]c23)c(F)c1F
31,c1c(F)c(F)c(C(Nc2cccc3cn(-c4ccccc4C#N)nc32)=O)c(F)c1F,N#Cc1ccccc1-n1cc2cccc(NC(=O)c3c(F)c(F)cc(F)c3F)c2n1,N#Cc1ccccc1-n1cc2cccc(NC(=O)c3c(F)c(F)cc(F)c3F)c2n1
32,Cl[C@@H]1CCCN1c1c(F)c(F)c(C(Nc2cccc3cn(-c4ccccc4)nc32)=O)c(F)c1F,O=C(Nc1cccc2cn(-c3ccccc3)nc12)c1c(F)c(F)c(N2CCC[C@H]2Cl)c(F)c1F,O=C(Nc1cccc2cn(-c3ccccc3)nc12)c1c(F)c(F)c(N2CCC[C@H]2Cl)c(F)c1F
33,ClCN(c1c(F)c(F)c(C(Nc2cccc3cn(-c4ccc(F)cc4)nc32)=O)c(F)c1F)CC1CCOC1,O=C(Nc1cccc2cn(-c3ccc(F)cc3)nc12)c1c(F)c(F)c(N(CCl)CC2CCOC2)c(F)c1F,O=C(Nc1cccc2cn(-c3ccc(F)cc3)nc12)c1c(F)c(F)c(N(CCl)C[C@@H]2CCOC2)c(F)c1F
34,ClCN(c1c(F)c(F)c(C(Nc2cccc3cn(-c4ccc(F)cc4)nc32)=O)c(F)c1F)CC1CCOC1,O=C(Nc1cccc2cn(-c3ccc(F)cc3)nc12)c1c(F)c(F)c(N(CCl)CC2CCOC2)c(F)c1F,O=C(Nc1cccc2cn(-c3ccc(F)cc3)nc12)c1c(F)c(F)c(N(CCl)C[C@H]2CCOC2)c(F)c1F
35,C[C@H](Oc1c(F)c(F)c(C(Nc2nccc3cn(-c4ccccc4F)nc32)=O)c(F)c1F)C,CC(C)Oc1c(F)c(F)c(C(=O)Nc2nccc3cn(-c4ccccc4F)nc23)c(F)c1F,CC(C)Oc1c(F)c(F)c(C(=O)Nc2nccc3cn(-c4ccccc4F)nc23)c(F)c1F
36,FC(F)(c1c(C#N)cc(C(Nc2cccc3cn(-c4cn(CCO)cn4)nc32)=O)c(F)c1)F,N#Cc1cc(C(=O)Nc2cccc3cn(-c4cn(CCO)cn4)nc23)c(F)cc1C(F)(F)F,N#Cc1cc(C(=O)Nc2cccc3cn(-c4cn(CCO)cn4)nc23)c(F)cc1C(F)(F)F
37,FC(F)(c1c(C#N)cc(C(Nc2cccc3cn(-c4cn(CCO)cn4)nc32)=O)c(F)c1)F,N#Cc1cc(C(=O)Nc2cccc3cn(-c4cn(CCO)c[nH+]4)nc23)c(F)cc1C(F)(F)F,N#Cc1cc(C(=O)Nc2cccc3cn(-c4cn(CCO)c[nH+]4)nc23)c(F)cc1C(F)(F)F
38,c1cccc(-n2nc3c(cccc3NC(=O)c3cc(F)c(N(CCC)CCl)c(F)c3F)c2)c1,CCCN(CCl)c1c(F)cc(C(=O)Nc2cccc3cn(-c4ccccc4)nc23)c(F)c1F,CCCN(CCl)c1c(F)cc(C(=O)Nc2cccc3cn(-c4ccccc4)nc23)c(F)c1F
39,c1cccc(-n2nc3c(cccc3NC(=O)c3cc(F)c(N(CCC)CC)c(F)c3)c2)c1,CCCN(CC)c1c(F)cc(C(=O)Nc2cccc3cn(-c4ccccc4)nc23)cc1F,CCCN(CC)c1c(F)cc(C(=O)Nc2cccc3cn(-c4ccccc4)nc23)cc1F
40,O=S(c1cccc(-n2nc3c(cccc3NC(=O)c3c(F)c(F)c(N(CCC)CCl)c(F)c3F)c2)c1)(N)=O,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3cn(-c4cccc(S(N)(=O)=O)c4)nc23)c(F)c1F,CCCN(CCl)c1c(F)c(F)c(C(=O)Nc2cccc3cn(-c4cccc(S(N)(=O)=O)c4)nc23)c(F)c1F
41,c1ccnc(-n2nc3c(cccc3NC(=O)c3c(F)ccc(N(CCC)CC)c3F)c2)c1,CCCN(CC)c1ccc(F)c(C(=O)Nc2cccc3cn(-c4ccccn4)nc23)c1F,CCCN(CC)c1ccc(F)c(C(=O)Nc2cccc3cn(-c4ccccn4)nc23)c1F
42,c1cccc(-n2nc3c(cccc3NC(=O)c3c(F)c(F)c(N4CC(CN(C)C)C4)cc3F)c2)c1,C[NH+](C)CC1CN(c2cc(F)c(C(=O)Nc3cccc4cn(-c5ccccc5)nc34)c(F)c2F)C1,C[NH+](C)CC1CN(c2cc(F)c(C(=O)Nc3cccc4cn(-c5ccccc5)nc34)c(F)c2F)C1
43,c1cccc(-n2nc3c(cccc3NC(=O)c3c(F)cc(N4CCN(C)CC4)c(N(CC)CC)c3)c2)c1,CCN(CC)c1cc(C(=O)Nc2cccc3cn(-c4ccccc4)nc23)c(F)cc1N1CC[NH+](C)CC1,CCN(CC)c1cc(C(=O)Nc2cccc3cn(-c4ccccc4)nc23)c(F)cc1N1CC[NH+](C)CC1
44,c1cccc(-n2nc3c(cccc3OCc3c(F)c(F)c(NCC(O)(C(F)(F)F)C(F)(F)F)c(F)c3F)c2)c1,OC(CNc1c(F)c(F)c(COc2cccc3cn(-c4ccccc4)nc23)c(F)c1F)(C(F)(F)F)C(F)(F)F,OC(CNc1c(F)c(F)c(COc2cccc3cn(-c4ccccc4)nc23)c(F)c1F)(C(F)(F)F)C(F)(F)F
45,c1cccc(-n2cnc(C(=O)Nc3c(F)c(F)c(N4N=CCN(C(C=C)(C)C)C4=O)c(F)c3F)c2)c1Cl,C=CC(C)(C)N1CC=NN(c2c(F)c(F)c(NC(=O)c3cn(-c4ccccc4Cl)cn3)c(F)c2F)C1=O,C=CC(C)(C)N1CC=NN(c2c(F)c(F)c(NC(=O)c3cn(-c4ccccc4Cl)cn3)c(F)c2F)C1=O
