sdf_number,annalog,protonated,isomers
1,C1C2C3CC1CC(C2)C3,C1C2CC3CC1CC3C2,C1[C@H]2C[C@H]3C[C@@H]1C[C@H]3C2
2,N1C2CC3CC1CC(C2)C3,C1C2CC3CC1CC(C2)[NH2+]3,C1[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)[NH2+]3
3,O1C2CC3CC1CC(C2)C3,C1C2CC3CC1CC(C2)O3,C1[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)O3
4,CC1C2C3CC1CC(C2)C3,CC1C2CC3CC(C2)C1C3,C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)[C@@H]1C3
5,CC1C2C3CC1CC(C2)C3,CC1C2CC3CC(C2)C1C3,C[C@H]1[C@H]2C[C@@H]3C[C@H](C2)[C@H]1C3
6,CC1C2C3CC1CC(C2)C3,CC1C2CC3CC(C2)C1C3,C[C@@H]1[C@H]2C[C@@H]3C[C@H](C2)[C@H]1C3
7,CC1C2C3CC1CC(C2)C3,CC1C2CC3CC(C2)C1C3,C[C@@H]1[C@@H]2C[C@H]3C[C@@H](C2)[C@@H]1C3
8,C12CC3CC(CC(C1)C3)C2C,CC1C2CC3CC(C2)CC1C3,C[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3
9,CC12CC3CC(CC(C1)C3)C2,CC12CC3CC(CC(C3)C1)C2,C[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
10,N12CC3CC(CC(C1)C3)C2,C1C2CC3CC1C[NH+](C2)C3,C1[C@H]2C[C@H]3C[NH+]1C[C@@H](C2)C3
11,OC12CC3CC(CC(C1)C3)C2,OC12CC3CC(CC(C3)C1)C2,O[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
12,C12CC3CC(CC(C1)C3)C2O,OC1C2CC3CC(C2)CC1C3,O[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3
13,NC12CC3CC(CC(C1)C3)C2,[NH3+]C12CC3CC(CC(C3)C1)C2,[NH3+][C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
14,C1CC2CC3CC1CC(C3)C2,C1CC2CC3CC1CC(C2)C3,C1C[C@H]2C[C@H]3C[C@@H]1C[C@@H](C2)C3
15,C1[C@H]2C[C@@H]3C[C@H](C2)C[C@@]1(CC)C3,CC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
16,C1[C@H]2C[C@@H]3C[C@H](C2)C[C@@]1(CO)C3,OC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,OC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
17,C1[C@H]2C[C@@H]3C[C@H](C2)C[C@@]1(OC)C3,CO[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CO[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
18,C1[C@]2(C)C[C@H]3C[C@@H](C2)C[C@@H]1O3,C[C@]12C[C@@H]3C[C@H](C1)O[C@@H](C3)C2,C[C@]12C[C@@H]3C[C@H](C1)O[C@@H](C3)C2
19,C1[C@H]2C[C@@H]3C[C@@](NC(C)=O)(C[C@H]1C3)C2,CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
20,C1[C@H]2C[C@@H]3C[C@@](NC(CC)=O)(C[C@H]1C3)C2,CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
21,C1[C@H]2C[C@@H]3C[C@@](NC(C#C)=O)(C[C@H]1C3)C2,C#CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,C#CC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
