sdf_number,annalog,protonated,isomers,docking_energy,cluster
1,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,OCC1CCN(c2nc(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,OCC1CCN(c2nc(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,-8.561,53
2,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)nc(Cl)c12,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)nc(Cl)c12,-8.751,52
3,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,OCC1CCN(c2[nH+]c(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,OCC1CCN(c2[nH+]c(Cl)c3c(O)nc4cc(Cl)ccc4n23)CC1,-9.243,52
4,n1c(O)c2n(c3c1cc(Cl)cc3)c(N1CCC(CO)CC1)nc2Cl,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)[nH+]c(Cl)c12,O=c1[nH]c2cc(Cl)ccc2n2c(N3CCC(CO)CC3)[nH+]c(Cl)c12,-7.528,52
5,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,-8.62,8
6,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)nc(Cl)c12,-8.822,5
7,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,Oc1nc2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,-8.699,6
8,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CCC(Cl)CC1)nc2Cl,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,O=c1[nH]c2c(Cl)cccc2n2c(N3CCC(Cl)CC3)[nH+]c(Cl)c12,-9.086,7
9,n1c(O)c2n(c3c1cccc3)c(N1CCC(C)CC1)nc2CC,CCc1nc(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,CCc1nc(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,-8.758,51
10,n1c(O)c2n(c3c1cccc3)c(N1CCC(C)CC1)nc2CC,CCc1nc(N2CCC(C)CC2)n2c1c(=O)[nH]c1ccccc12,CCc1nc(N2CCC(C)CC2)n2c1c(=O)[nH]c1ccccc12,-9.107,51
11,n1c(O)c2n(c3c1cccc3)c(N1CCC(C)CC1)nc2CC,CCc1[nH+]c(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,CCc1[nH+]c(N2CCC(C)CC2)n2c1c(O)nc1ccccc12,-8.842,78
12,n1c(O)c2n(c3c1cccc3)c(N1CCC(C)CC1)nc2CC,CCc1[nH+]c(N2CCC(C)CC2)n2c1c(=O)[nH]c1ccccc12,CCc1[nH+]c(N2CCC(C)CC2)n2c1c(=O)[nH]c1ccccc12,-8.845,51
13,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2nc(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2nc(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@@H](C)O1,-8.832,5
14,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2nc(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2nc(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@H](C)O1,-8.064,5
15,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2nc(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2nc(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@@H](C)O1,-9.174,5
16,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2nc(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2nc(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@H](C)O1,-8.03,5
17,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2[nH+]c(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2[nH+]c(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@@H](C)O1,-8.001,6
18,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2[nH+]c(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2[nH+]c(Cl)c3c(O)nc4c(Cl)cccc4n23)C[C@H](C)O1,-8.215,6
19,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2[nH+]c(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2[nH+]c(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@@H](C)O1,-8.388,5
20,n1c(O)c2n(c3c1c(Cl)ccc3)c(N1CC(C)O[C@H](C)C1)nc2Cl,CC1CN(c2[nH+]c(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@@H](C)O1,C[C@@H]1CN(c2[nH+]c(Cl)c3c(=O)[nH]c4c(Cl)cccc4n23)C[C@H](C)O1,-8.198,5
21,n1c(O)c2n(c3c1c(Cl)ccc3)c(OCC1CCCNC1)nc2Cl,Oc1nc2c(Cl)cccc2n2c(OCC3CCC[NH2+]C3)nc(Cl)c12,Oc1nc2c(Cl)cccc2n2c(OC[C@@H]3CCC[NH2+]C3)nc(Cl)c12,-9.127,18
